20200803,Asking,兴业证券福州湖东路,君正集团(601216),0,8538.2
20200803,中信淮海路,中信证券上海淮海中路,龙蟒佰利(002601),3949.3,108.45
20200803,中信溧阳路,中信证券上海溧阳路,君正集团(601216),21332.03,0
20200803,中信溧阳路,中信证券上海溧阳路,君正集团(601216),0,21304.15
20200803,中信溧阳路,中信证券上海溧阳路,华兰生物(002007),427.36,4535.65
20200803,中信溧阳路,中信证券上海溧阳路,达安基因(002030),37531.83,36602.26
20200803,中信溧阳路,中信证券上海溧阳路,达安基因(002030),37531.83,36602.26
20200803,中信溧阳路,中信证券上海溧阳路,紫光国微(002049),8618.66,322.0
20200803,中信溧阳路,中信证券上海溧阳路,省广集团(002400),98.82,3282.39
20200803,中信溧阳路,中信证券上海溧阳路,省广集团(002400),98.82,3282.39
20200803,割肉荣,华泰证券深圳益田路荣超商务中心,泰豪科技(600590),721.55,0
20200803,割肉荣,华泰证券深圳益田路荣超商务中心,航天宏图(688066),532.02,0
20200803,割肉荣,华泰证券深圳益田路荣超商务中心,中国长城(000066),12066.05,159.12
20200803,割肉荣,华泰证券深圳益田路荣超商务中心,海南发展(002163),2875.0,1918.35
20200803,割肉荣,华泰证券深圳益田路荣超商务中心,盛运退(300090),11.97,0.0
20200803,割肉荣,华泰证券深圳益田路荣超商务中心,神雾退(300156),12.97,0.0
20200803,割肉荣,华泰证券深圳益田路荣超商务中心,科思股份(300856),437.46,2974.31
20200803,华泰厦门厦禾路,华泰证券厦门厦禾路,易明医药(002826),15.89,701.07
20200803,华泰武定路,华泰证券上海武定路,大地熊(688077),521.23,0
20200803,华泰湖南分公司,华泰证券湖南分公司,嘉泽新能(601619),1121.52,0
20200803,国元虹桥路,国元证券上海虹桥路,君正集团(601216),16475.98,0
20200803,小鳄鱼,南京证券南京大钟亭,紫光国微(002049),9237.92,44.04
20200803,成都帮,国泰君安证券成都北一环路,嘉泽新能(601619),1134.71,0
20200803,成都帮,国泰君安证券成都北一环路,嘉泽新能(601619),0,1238.49
20200803,成都帮,国泰君安证券成都北一环路,航锦科技(000818),2633.4,54.85
20200803,成都帮,国泰君安证券成都北一环路,泰林生物(300813),397.83,5.96
20200803,深南哥,申万宏源证券深圳金田路,紫光国微(002049),200.91,5353.22
20200803,清扬哥,中国中金财富证券无锡清扬路,盐田港(000088),1986.54,259.83
20200803,清扬哥,中国中金财富证券无锡清扬路,岭南控股(000524),1394.91,1433.02
20200803,清扬哥,中国中金财富证券无锡清扬路,岭南控股(000524),1394.91,1433.02
20200803,温州帮,长江证券台州市府大道,万邦德(002082),0.0,3621.34
20200803,温州帮,长江证券上海福州路,神雾退(300156),5.83,0.0
20200803,炒股养家,华鑫证券苏州总官堂路,四环生物(000518),1175.13,0.0
20200803,章建平,中信证券杭州延安路,菲达环保(600526),0,1666.83
20200803,罗湖哥,平安证券深圳深南东路罗湖商务中心,奥普家居(603551),388.88,0
20200803,罗湖哥,平安证券深圳深南东路罗湖商务中心,金逸影视(002905),88.44,258.44
20200803,职业炒手,华泰证券成都蜀金路,传艺科技(002866),292.71,1492.17
20200803,赵老哥,中国银河证券绍兴,万泰生物(603392),7829.84,0
20200803,赵老哥,中国银河证券绍兴,万泰生物(603392),0,8046.99
20200803,赵老哥,华泰证券浙江分公司,大地熊(688077),449.28,0
20200803,赵老哥,华泰证券浙江分公司,大地熊(688077),0,449.87
20200803,赵老哥,中国银河证券绍兴,达安基因(002030),6562.0,303.99
20200803,赵老哥,中国银河证券绍兴,达安基因(002030),10504.85,15460.52
20200803,赵老哥,华泰证券浙江分公司,传艺科技(002866),940.12,376.08
20200803,光大宁波解放南路,光大证券宁波解放南路,*ST乐通(002319),1070.65,361.28
20200803,光大宁波解放南路,光大证券宁波解放南路,*ST乐通(002319),1070.65,361.28
20200803,光大宁波解放南路,光大证券宁波解放南路,*ST乐通(002319),1070.65,361.28
20200803,光大宁波解放南路,光大证券宁波解放南路,*ST乐通(002319),1070.65,361.28
